Player1,Player2,Result
scissor,scissor,tie
paper,paper,tie
rock,rock,tie
scissor,rock,lose
scissor,paper,win
scissor,paper,win
scissor,scissor,tie
rock,paper,lose
scissor,rock,lose
paper,paper,tie
rock,scissor,win
scissor,paper,win
scissor,scissor,tie
rock,scissor,win
scissor,rock,lose
paper,paper,tie
rock,rock,tie
scissor,rock,lose
rock,paper,lose
scissor,scissor,tie
rock,rock,tie
scissor,rock,lose
paper,paper,tie
rock,rock,tie
rock,rock,tie
scissor,rock,lose
paper,scissor,lose
rock,rock,tie
rock,rock,tie
scissor,paper,win
scissor,paper,win
scissor,rock,lose
rock,rock,tie
scissor,rock,lose
paper,rock,win
paper,paper,tie
rock,rock,tie
scissor,rock,lose
paper,paper,tie
scissor,scissor,tie
paper,paper,tie
rock,rock,tie
scissor,rock,lose
scissor,paper,win
scissor,paper,win
scissor,scissor,tie
rock,paper,lose
scissor,rock,lose
paper,paper,tie
rock,scissor,win
scissor,paper,win
scissor,scissor,tie
rock,scissor,win
scissor,rock,lose
paper,paper,tie
rock,rock,tie
scissor,rock,lose
rock,paper,lose
scissor,scissor,tie
rock,rock,tie
scissor,rock,lose
paper,paper,tie
rock,rock,tie
rock,rock,tie
scissor,rock,lose
paper,scissor,lose
rock,rock,tie
rock,rock,tie
scissor,paper,win
scissor,paper,win
scissor,rock,lose
rock,rock,tie
scissor,rock,lose
paper,rock,win
paper,paper,tie
rock,rock,tie
scissor,rock,lose
paper,paper,tie
scissor,scissor,tie
paper,paper,tie
rock,rock,tie
scissor,rock,lose
scissor,paper,win
scissor,paper,win
scissor,scissor,tie
rock,paper,lose
scissor,rock,lose
paper,paper,tie
rock,scissor,win
scissor,paper,win
scissor,scissor,tie
rock,scissor,win
scissor,rock,lose
paper,paper,tie
rock,rock,tie
scissor,rock,lose
rock,paper,lose
scissor,scissor,tie
rock,rock,tie
scissor,rock,lose
